sentence,relation,head,head_offset,tail,tail_offset
DD特卖是一款超级社交类电商APP，以各大知名电商平台为基础，开拓出更多社交电商新玩法，打破了传统电商平台的模式，通过社交电商多样化玩法，充分满足用户需求，创造出千亿市值，让每个参与者都可以实现人生价值。~,应用平台,DD特卖,0,电商平台,23
星设计为红星美凯龙集团旗下专为室内设计师倾力打造的专业资讯交流学习平台，努力推动设计行业发展。~平台提供权威的专业资讯优质的家居建材促销活动设计大咖交流分享会海外深造学习通道平台优势：红星美凯龙成立30周年以来，以专业的品质奠定了行业龙头地位，在家居零售行业树立了高品质的品牌形象。~截止目前已经有超过186家实体商场，建立起了完整的供应链，以技术手段，提供基于设计美学的全套生活解决方案。~,应用平台,星设计,0,专业资讯交流学习平台,25
物拉拉为杭州玖点灵科技旗下货运平台，已在全国范围内建立多起市级营运中心和配送网络进行全国物流范围的铺设。~通过完整、系统的管理体系，专业的供应链解决方案，向客户提供综合供应链、快递、同城配送和软件服务。~公司的核心理念是打通个人与投资技术的科学管理，以互联网信息技术和创新的力量为整个物流行业带来革命变革。~以一站式的物流配送、完善的供应链体系和新零售相结合，为客户提供高效、优质的服务体验。~,版权,物拉拉,0,杭州玖点灵科技,4
DYP伙伴是专业为合作伙伴们打造的安全稳定，高效，创新的管理平台，终端管理查看，业绩查看，提供团队管理查询与筛选，同事提供轻松推广二维码进行展业。真正做到管家式服务。,交互模式,DYP伙伴,0,轻松推广二维码,61
图易视频特效剪辑软件简称易剪辑是一款功能十分强大的剪辑短视频合成剪辑APP为您提供了强大的视频编辑美化效果功能也支持对照片、本地图片生成节拍视频以及视频进行美化操作，加上各种超炫的视频效果和魔法相机光效、照片节拍功能让你的视频拍摄和短视频剪辑更简单、视频效果更炫酷。~加上十分炫酷的闪光相机、魔法摄像功能，让您的短视频效果更加与众不同！,交互模式,图易视频,0,视频效,157
快马健康慢病管理医生安卓端，在线咨询问诊，处方，病历等功能一体，连接多个微信公众号，实现医生与慢病患者的在线远程问诊，以及处方的推送，支持医保支付和微信支付。,应用平台,快马健康慢病管理医生,0,安卓端,10
八八平台拥有国内各大家具批发市场的产品信息，直接对接厂家供货。~面向各家具批发零售店，提供及时的家具商品信息，及商品在线销售平台，并提供销售服务！家具分类包括：床、床垫、餐桌、茶几、电视柜、梳妆台、沙发、衣柜、茶台、办公家具、其他。~,交互模式,八八平台,0,售平,61
8亿二手车APP由武汉捌亿汽车服务有限公司网络部团队精心打造，整合了8亿二手车网站的优势功能与移动端的特点，拉近买卖双方的距离，为买家提供真实可靠有保障的车源，为卖家提供准确及时的收车渠道及车辆管理，是促成二手车交易的实用工具。~APP首页有定位功能，定位当前城市，会显示当前看车城市发布的车源。~用户可自定义选择全国、定位城市或者其他城市，查看其他城市的车源。~,所属公司,8亿二手车,0,武汉捌亿汽车服务有限公司,9
“工控云”入驻商平台由广州工控云科技有限公司与长沙创阳慧联科技有限公司联合投资、研发、运营的新能源设备物联工具平台，企业端平台主要实现对租赁、采购新工业设备的客户实施管理，业务流程处理，方便、高效的实现为新能源设备企业生产赋能，通过入驻商端的管理，有效增强企业与客户间的粘性，设备租赁预警加强风险把控，帮助企业资金回笼，减少企业维护成本。~,应用平台,工控云,1,新能源设备物联工具平台,46
掌上青神是青神县广播电视台自己的app，介绍青神本土文化、旅游景点、时政新闻。~直播点播，电视回放随时观看。~便民停电停水信息实时通知。~随时随地了解国内国外、本地新闻。~照片视频爆料随手上传，更有本地精彩活动等你来参加。~,用户数量,掌上青神,0,播点,41
尕尕出行是新疆凯力智慧电子科技有限公司基于专车开发的互联网出行app，是集互联网出行、车辆动态监管的一体化互联网出行app，我们致力于为乘客打造快捷、专业的出行app，为乘客提供方便、透明的出行服务。,版权,尕尕出行,0,新疆凯力智慧电子科技有限公司,5
263云视是二六三企业通信自主研发的新一代网络视频产品，基于强大的音视频处理技术和云计算能力，提供跨平台、跨终端无缝沟通的视频通信服务。,版权,263云视,0,二六三企业,6
草莓网是个网上购物软件。用户通过注册软件操作后，可在网上购买商品。功能包括：注册登录、编辑个人资料、邮递地址等。还包括帮助中心、购物车等模块。,交互模式,草莓网,0,网上购买商品,26
平源科技旗下产品“快来用车”跨城出行平台，是团队成员结合多年网约车、共享用车、跨城用车运营服务经验，以山东城市为基点，着力打造的城乡跨城出行产品。,应用平台,快来用车,9,跨城出行平台,14
青松租客APP是深圳指芯物联技术有限公司潜心研发的租房平台，租客可轻松通过青松租客APP签约合同，完成签约后，通过现金缴付租金，并提供日常租金管理、缴纳生活费用（水电煤）等功能。,所属公司,青松租客,0,深圳指芯物联技术有限公司,8
“文旅聊城”客户端是由中国文化传媒集团拥有自主知识产权的“中传云”平台提供技术支持。依托于聊城文化、旅游行业，“文旅聊城”向公众提供一站式新闻资讯、政务及文化民生服务。,应用平台,“文旅聊城”,55,“中传云”平台,28
出彩短视频是一款去中心化的短视频社交新零售平台，用户可以使用功能丰富的短视频录制工具记录出彩生活的同时通过开店加上自身的粉丝效应把好用的商品分享给好友赚取丰富的收益；加入出彩店主，让你的短视频更有价值！,应用平台,出彩短视频,0,短视频社交新零售平台,13
甘薯出行是由天津海厚科技发展有限公司开发研究的打车软件。我们致力于为您的出行提供专业、可靠的服务，同时让您的使用感更加流畅、舒心。,开发者,甘薯出,0,天津海厚科技发展有限公司,6
淘手集市-在线购物商城，每日新品抢购，让您想淘就淘！【大额优惠券+超高返利】精选全网大额优惠券！还有超高返利！【购物红包】平台随机派发红包，购物时可立即使用！,交互模式,淘手集市,0,在线购物,5
“慧生活”应用以优化完善物业公司物业服务为切入点，围绕业主物业服务及生活需求，利用互联网技术、物联网技术，打造一个集智慧物业服务、社区生活服务、社区商业服务、社区共享经济与政府政务服务为一体的智慧社区生活服务平台。~,应用平台,慧生活,1,智慧社区生活服务平台,96
为豫园时尚珠宝集团（下简称集团）更好的利用外部设计方资源，为公司内多品牌提供共享的设计能力，扩大设计能力、减少设计成本，拟通过搭建珠宝创意之家APP；通过该APP，集团对外发布设计任务，设计方提供设计稿，由集团确定并采纳。~,开发者,珠宝创意之家,65,豫园时尚珠宝集团,1
"学习修身是一款在线帮助低年级学生学习英语的在线视频app,学生可以根据自己的兴趣爱好选择自己的分类视频进行观看，可以很好的帮助学生掌握基础的英语理解听说能力。",交互模式,学习修身,0,在线视频,21
我爱五指山是一个展示热点新闻资讯，能及时、准确、权威地了解到县内重大事件的平台，还是融合广播、电视、官微号、微博、视频、城市服务等的媒体融合平台。,交互模式,我爱五指山,0,广播、电视、官微号、微博、视频、,44
“惠车无忧商家版”归属广东法航实业有限公司，以互联网服务平台为载体，专注为车主提供优惠、便捷、优质的人、车生活服务。同时为商家提供免费、精准、省心的营销与管理工具，让线下实体不再难做。,应用平台,惠车无忧商家版,1,互联网服务平台,23
"小白智家App是你家里的创米产品智能硬件的管理平台，通过智能硬件让你的生活更加方便，快捷，与智慧，让您和您的家人零距离,充分的享受科技给生活带来的便利.联系我们：官方微信公众号：创米科技",应用平台,小白智家App,0,管理平台,21
鞋居是一款为球鞋爱好者提供相关球鞋抢购、补货以及发售信息资讯的app，在这里你能找到当下潮流球鞋的发售信息，全球各地区球鞋渠道抢购信息，完美解决大家抢不到球鞋的烦恼，还在犹豫什么，赶紧下载吧！！！！！,交互模式,鞋居,0,抢购,17
爱海盐是海盐县唯一官方新闻客户端，由县传媒中心运营，是融新闻资讯、党政服务、民生服务、智慧城市管理为一体的县级融媒体综合平台。,总部,爱海盐,0,海盐县,4
微草世界整合各大电商平台爆款，打造精品爆款的电商平台，通过社交电商和短视频内容营销策略，帮助亿万消费者购买高折扣的商品。,应用平台,微草世界,0,电商平台,8
AlungFM主要栏目有藏区资讯、音乐、综艺娱乐、历史人文、电台、戏曲、旅游、电影等内容，专为目标群体提供有关藏文化相关音频服务，旨在宣传藏文化内在价值，致力于打造藏区首个藏文化音频分享平台。,应用平台,AlungFM主,0,音频分享平台,89
佐尔商城APP是一款涵盖多品类的电子商务销售平台。~商品种类涵盖服饰鞋包、美妆护肤、母婴玩具、家具生活、百货食品、运动户外等多个品类。~我们始终坚持以提升更好的用户体验为首要诉求，将线下积累的数十万美业的体验会员通过商城的手段转化到线上。~佐尔力求打通网络销售渠道，掌控电子商务产业链，为消费者打造“低消费、重品质、快物流”的一站式服务。~,应用平台,佐尔商城APP,0,电子商务销售平台,16
聚友聊天APP，与老友之间的交流，在这里没有任何第三方广告，有的只有纯净的交流。聚友APP支持，语音通话，好友位置显示，广场，通讯录自动查看聚友好友，以及扫码加好友，通讯录中可以创建好友群聊方便快捷。,交互模式,聚友聊天,0,群聊,93
“开心320”app是由驭卫互联网科技有限开发的儿童口腔健康管理平台。~本app为家长提供家庭中每个孩子的全面的口腔健康报告、口腔健康维护、健康知识、就医指南、风险评估、专病诊室等功能。~“开心320”app围绕儿童全周期口腔健康各方面内容，通过平台智能主动进行口腔健康管理，解决家长最为关心的儿童口腔问题。~,应用平台,开心320,1,儿童口腔健康管理平台,24
碧玄智投是济安财富（北京）基金销售有限公司旗下匹配基金组合的投资工具。~APP基于济安金信基金评价体系，充分利用数据挖掘与人工智能技术，为用户提供定制化的基金投资组合，在风险可控的同时，争取投资收益的最大化。~用户可以通过碧玄智投进行个人财富体检、基金组合匹配、投后组合监控、单只基金深度分析等操作。~,所属公司,碧玄智投,0,济安财富（北京）基金销售有限公司,5
“飞驰出行”这一系列“互联网＋”、“分享经济”、“新能源”、“大数据”等属性为一体的创新产品服务的关注与支持。~“共享单车”作为移动互联网技术进步的重要产物，其“分享经济”的属性深受国家支持和群众认可。~自隶属于杭州飞驰行科技有限公司旗下电动车租赁品牌”。~,版权,飞驰出行,1,飞驰行科技有限公司旗下,108
"肉交所是一个肉类水产冻品,批发交易平台。~肉交所提供免费发布供求信息，免费在线撮合交易，免费在线采购交易，实时掌握行业行情，并致力于打造国内肉类行业一站式交易平台。~　　通过互联网的高效方式，为上游供应商提供稳定销售渠道与展示平台，为下游采购方在最短时间内找到物美价廉的货源，帮用户减少交易中间环节和交易成本，为肉类产业链健康发展，努力思考与创新！",应用平台,肉交所,0,交易平台,15
触娱是一款超高颜值，高质量，小清新的语音互动交友APP，能一起开黑语音打游戏，是娱乐、游戏、语音、社交，处CP的好去处，通过触娱能结交认识更多的游戏玩家。,交互模式,触娱,0,语音互动,18
去选外卖商家版是入驻去选的商家使用的管理软件，是可以在Android平台上使用的应用程序。~主要功能是接受并处理用户订单，处理催单，处理退款，账户在线结算、对账，营销门店，管理去选外卖的门店，随时调整营业信息、商品库存等。~让你轻松管理店铺，想开店的朋友快来下载吧！,交互模式,去选外卖商家版,0,线结算、对账，,74
Metro大都会，是由上海申通地铁集团出品。面向需要使用上海地铁出行的所有用户，为他们提供全面的地铁出行推荐服务，丰富的地铁生活圈周边优惠，全面的地铁衍生品等。,版权,Metro大都会,0,上海申通地铁集团,11
智慧宫翻译是宁夏赛洛丝网络科技有限公司面向全球推出的中文阿拉伯语翻译、阿汉词典、中阿词典软件，包含阿拉伯语学习、阿汉单词查询、汉语阿拉伯语在线翻译、汉语阿拉伯语语音识别、汉语阿拉伯语语音朗读、拍照翻译、人工翻译等功能，并支持中文、英语、阿拉伯语三种语言界面。~为广大学习阿拉伯语学生、中阿双语从业者、阿拉伯语爱好者提供查词、翻译、学习等一站式服务。~,版权,智慧宫翻译,0,宁夏赛洛丝网络科技有限公司,6
“爱岷县”客户端是岷县融媒体中心倾心打造的为岷县广大群众提供本地阅读资讯，公共服务、便民生活信息和商业平台。,开发者,爱岷县,1,岷县融媒体中心,9
“呈贡融媒”主要开设资讯、微视、视听、矩阵四个专栏，围绕呈贡新区中心工作，及时刊发呈贡新区各级各部门重要工作信息，建立上情下达、下情上达的信息交流渠道，搭建全区经济社会发展建设成效展示平台。,应用平台,呈贡融媒,1,成效展示平台,88
鲸喜生活是为用户提供吃喝玩乐购优惠，全方位省钱；每笔消费都省钱天天有折扣消费省线下门店优惠，一年省下几千元网购省天天有一折，剁手不心疼外卖省外卖优惠一网打尽300+特权，享受VIP专属权益,交互模式,鲸喜生活,0,乐购优惠,13
为顺应电商时代的迅猛发展，日前，山东小摊儿电子商务有限公司正在积极打造旗下电商APP平台。~据项目负责人透露，该APP平台初步定名为“小摊儿”。~”小摊儿”APP旨在提高会员消费黏性，为公司会员提供各类高性价比商品购买服务，集智能导购、仓储物流、售后服务于一体。~,所属公司,摊儿”,68,山东小摊儿电子商务有限公司,16
陕西信合企业银行是陕西信合为企业客户打造的移动金融服务平台，客户可通过移动客户端享受高效、便捷、安全的金融服务。~陕西信合企业银行为客户提供账务查询、资金划转等移动银行服务，企业管理者、财务人员可随时随地处理支付结算业务，掌握企业财务动态。~为保护客户资金、信息安全，客户端使用蓝牙U-KEY进行安全验证，让您在享受便捷、高效的移动办公的同时，交易得到安全保障。~,开发者,陕西信合企业银行,0,陕西信合,9
《微知库学生版》是领航未来（北京）科技有限公司在原有《微知库》版本基础上更新的全新软件，该版本注重学生在课前、课中、课后的学习体验，以及学生与学生之间的学生与老师之间的交流，让学与教轻松自如。,版权,微知库学生版,1,领航未来（北京）科技有限公司,9
rolqikinoapp是对少数民族提供短视频服务的应用应用特别：每日更新精彩的课程食品内容专门审核通过才能发布维吾尔文字正常显示,交互模式,rolqikino,0,短视频,20
卡满行司机是一款针对公路货物运输开发的集注册认证、海量货源、在线交易、运输管理、线上结算于一体的综合物流运输服务软件，为司机师傅提供：1、便捷的操作页面；2、海量货源，智能匹配；3、在线交易，运输保障；4、快速结算，及时收款；使用卡满行，运输更高效！,交互模式,卡满行司机,0,在线交易,91
车源之家源是一款专注于汽车的软件，这款平台可以为您提供前面的汽车报价、汽车图片以及汽车的价格大全。包含了新的汽车新闻、行情、评测以及导购等内容，是一款手机端的汽车杂志，全面的资讯尽在其中.,交互模式,车源之家源,0,图片,37
小鱼导播，让天下人人有生意。小鱼导播，开启全新的主播带货模式。【同城买家量大质优】【品牌直供货好价低】【高额佣金丰厚打赏】【货架商品轻松管理】小鱼导播，是小鱼播播购物平台的导播端。,交互模式,小鱼导播,0,主播带货,24
发那科商旅是北京发那科机电有限公司为集团客户和员工提供的差旅服务解决方案，集团客户与员工可以在APP上进行机票、酒店、用车、火车票的预订和支付，同时根据集团要求制定人员的差旅标准，降本增效，提高集团客户与员工的差旅满意度。~发那科商旅，带给您高效，快捷的出行体验,版权,发那科商旅,0,北京发那科机电有限公司,6
熊猫萌选致力于给消费者更好的购物体验，商品涵盖服饰、箱包、电子数码、生活用品等产品。同样的产品在熊猫萌选购买可以享受高佣金返现，开店零成本不同的商城体验，消费者自用省钱，商家可分享商品以及短视频购物。,交互模式,熊猫萌选,0,短视频,94
银行家园APP是一款整合银行业资讯的应用软件，内容涵盖全国主要一二线城市、300家银行法人单位、1800银行分行机构日常发布的理财、贷款、信用卡、营销活动等各类信息。~通过银行家园APP，用户可以轻松了解到身边的各类投融资讯，也可以通过APP的金融社交功能，与各家银行的经理人建立联系，打造安全、专业的金融顾问团，为自己的金融安全保驾护航。~,用户数量,银行家园AP,0,、300家,36
“医而有信医生端”是医而有信互联网医院为方便医患沟通的移动手机应用。~医生在线提供各种形式服务帮助患者解决问题，提供在线复诊、慢病管理等线上医疗服务，方便患者就医。~产品特点——1.在线复诊：随时随地回复患者提问，支持以图文、语言、视频等各种方式回答患者2.电子处方：医生可在线开具电子处方，待药师审核后即可生效,交互模式,医而有信医生端,1,、语言、视频等各,112
优配是天津天韵电子商务有限公司提供的一家基于移动互联网技术开发的手机APP应用产品，致力于为公路运输物流行业提供高效的车货匹配工具，同时为车找货（配货）、货找车（托运）提供全面的信息及服务。,所属公司,优配,0,天津天韵电子商务有限公司,3
聊机是一款打破社交距离，解除空间封锁，具有新理念、新玩法的全能型交友APP。~在匆忙的城市里，每天都有无数人与你擦肩而过，而你，或是想寻找生命中的那个TA，或是想去认识那个合拍的人，无奈，工作太忙，圈子太小，你们没有办法彼此相识、相知。~而选择聊机的你却能打破这距离，解除封锁！,交互模式,聊机,0,交友,32
云小店是河北睿云网络科技有限公司自主研发的一款手机端管理软件，用于管理闪店好物微信小程序的后台，可在线实现手机端的商品管理，分类管理，订单管理，广告管理，查看粉丝动态订单数据分析。~通过对店铺数据的分析更好的掌握产品销售的走向。~,版权,云小店,0,河北睿云网络科技有限公司,4
邻里邻外APP是上海邻里邻外信息科技有限公司推出的一款手机开门应用；致力于打造手机开门，优化社区服务，提升社区安全，促进邻里交流；邻里邻外，智享生活！,所属公司,邻里邻外,0,上海邻里邻外信息科技有限公司,8
游吗直播，超有趣的旅游直播平台，专注于旅游直播，带您饱览各地风光。【花样直播】网红地打卡、丛林探险、穿越瀑布，世界尽收眼底。【逃离束缚】高颜值主播带你旅行，跳出循规蹈矩的生活，遇见未知的自己。,交互模式,游吗直播,0,直播,36
易职学是一款在线教育的手机应用。~易职学APP是由天津易职学培训学校有限公司本着帮助万千学子早日成就梦想的理念开发的；应用内有直播、录播、一对一约课等模式可以选择适合自己的学习方式；还有题库模块帮助学子在学习后巩固所学；更有问答社区模块，可以很好的解决困惑的问题。~让学习更简单。~,所属公司,易职学,0,津易职学培训学校有限公司本,26
优酷直播助手，是优酷官方推出的直播开播应用，服务于“媒体、机构、达人、明星”等各类用户，提供便捷开播服务，可直播“旅游、健身、美食、生活、才艺”等内容，随时随地，分享生活每个精彩时刻。,交互模式,优酷直播助手,0,分享,81
TOPYSApp是由中国成立最早、最受欢迎的创意垂直网站TOPYS推出的移动端应用，是一个面向创意人、创意领域爱好者开放的创意学习平台。~你可以使用TOPYSApp随时随地查看TOPYS平台上的推荐内容，汲取每日新鲜灵感，了解创意圈热门动态，满足审美体验；还可以参与国际创意大师的精选课程，多维度启发创意思维。~,开发者,TOPYSApp,0,OPYS平,89
东莞房产网属东莞大型专业房产信息平台，提供全面的东莞楼盘，东莞二手房，东莞写字楼，东莞商铺，东莞厂房，东莞土地，东莞房产金融，东莞租房，房产资讯等信息及服务！东莞房产网（www.house0769.com）东莞房产信息全知道！,应用平台,东莞房产网,0,东莞大型专业房产信息平台,6
融识斋App是一款分享导购类购物平台，主要用于分享拼多多、京东、淘宝等主流电商平台商品，加入CPS联盟，分享高佣热销商品给用户，便于用户获取商品优惠券，并得到商品的返利，能够从平台得到更多的购物优惠。,应用平台,融识斋App,0,主流电商平台,35
井行学车APP，“以学员为中心”的驾培服务直通车！创新便捷的驾培全流程服务平台，优质驾校驾培联盟，没有中间环节！多种收费模式，满足学员多种需求！优质驾校，优质教练随心选！理论学习，权威题库！标准化的服务，清楚的学车流程，学车进度随时掌握！报名即投保，全程保障学车安全！用心学车，认真生活,应用平台,井行学车,0,驾培全流程服务平台,30
由鄞州日报社主办的鄞响客户端，于2017年8月30日正式上线，目前已成为我区主流舆论新的重要载体。~鄞响也是目前宁波市仅次于甬派的专业新闻客户端，也是各县市区中用户数最多、新闻滚动量最大的区域性新闻客户端。~本土就是主流。~有用，便民信息一手掌握；好玩，吃喝玩乐一应俱全；旧时光的风情、老底子的味道、新风潮的呐喊、轻文艺的姿态、最别样的鄞州就在鄞响。~,发布时间,鄞响,9,2017年8月30日,16
九格相机，分享瞬间。~九格相机是一款可以通过“图库”或“拍摄”的方式将自己喜爱的图片制作成九宫格图片的形式一键分享到微信朋友圈、新浪微博、腾讯微博、QQ平台等社交媒体的小工具，操作简单，使用方便，欢迎您免费使用。~,交互模式,九格相机,0,分享,5
“七彩大宁”APP客户端是一款集新闻资讯、政务服务、民生服务于一体的本地综合服务类手机客户端。~客户端融合电视、电台、图文、直播等多种平台，为广大群众提供广播电视节目点播、直播及政务、民生等综合服务，助推“七彩大宁”建设。~,应用平台,“七彩大宁”APP客户端,0,手机客户端,41
"“主流日照”APP是日照报业传媒集团精心打造的一款综合了新闻发布和信息服务功能的软件。~新闻主要立足本地，整合《日照日报》、《黄海晨刊》、日照新闻网内容信息资源,发布党委政府有关公告政令，关注国内外要闻资讯。~服务内容主要整合市民日常生活用到的信息，方便随时随地查询使用。~所有内容均由专业团队精心挑选制作，精炼简化、特色突出。~您的需求，就是我们服务的方向",版权,“主流日照”APP,0,日照报业传媒集团,10
智慧烹饪是西曼帝克厨电产品手机应用客户端。~构建智慧厨房，烹饪中国味道。~以智能科技打造智慧厨房，把厨师专业级烹饪艺术应用到家庭厨房，让每个家庭都能享受到美味佳肴，人人成为美食家。~通过该应用连接设备，您可以随时远程操控该设备提供的产品咨询和个性化服务。~连接至您的产品之后，您可以：1.远程控制烹饪参数2.远程浏览和选择烹饪食谱3.获得食谱更新，品味最新美味4.获得软件更新，查看产品使用指南,版权,智慧烹饪,0,西曼帝克厨电,5
拓课云App是由北京拓课网络科技有限公司开发的面向老师和学生实现线上音视频互动、课件互动、文字互动及其他教学小工具互动的教学平台。最多支持24路音视频，完美地呈现了各种动态课件的教学效果。,版权,拓课云App,0,北京拓课网络科技有限公司,8
模切之家——模切行业垂直社交商务B2B2C服务平台，实时的行业动态，咨询一站解决，行业活动、展会、论坛在这里应有尽有。线上学习模切技术，线上线下模切馆同量进行，让您的企业得到展示的机会,交互模式,模切之家,0,B2B2C服务平台,16
医生工作站是一款慢性病管理的健康医疗助手，通过医生和患者的有效沟通，提高患者对自身疾病的防范和治疗的意识，让患者的病情得道有效的治疗。,交互模式,医生工作站,0,有效沟通,29
慧找苗是由常州新禾宜软件科技有限责任公司开发打造的全新智能找苗软件，更精准，更方便，智慧找苗，找苗无忧，让你找苗更轻松！,开发者,慧找苗,0,常州新禾宜软件科技有限责任公司,5
信达风集团是由绿城中国、红杉资本、易居中国投资的中国领先的科技驱动型供应链综合服务平台，旗下拥有仟金顶和绿城电商两大业务板块。~我们秉承客户第一，诚实守信的企业文化——产品以客户为中心，时刻为客户着想，满足客户需求，超越客户期望。~个人所行与所说一致，即“言行一致”，真诚开放，诚实正直，遵守承诺。~,应用平台,信达风集团,0,综合服务平台,37
巫溪论坛始办于2004年4月，是致力于提供生活资讯、消费购物、人际交流、公益等一体化服务的巫溪本地门户网站。~巫溪网--巫溪生活门户网！巫溪网定位于巫溪本地生活消费社区.打造(真实.丰富.愉悦)的网上家园!作为本地生活消费分享的平台，是巫溪地区网络服务品牌之一，为54万多巫溪人提供生活交流、消费分享、购物指导等实用服务，通过巫溪论坛让用户快乐追求更高质量高效率的生活。~,发布时间,巫溪论坛,0,2004年4月,7
陶陶司机端致力于给车主提供更正规、更方便、更靠谱的打车司机APP服务平台，给快的司机提供收益高、更合理、更简洁的服务平台，连接乘客与陶陶车主端，陶陶司机版，火爆上线，让出行更简单！,应用平台,陶陶司机端,0,打车司机APP服务平台,25
易纱网是浙江易孚贸易有限公司电商交易平台，是唯一官方APP。易纱网把袜业、纱线原料搬上网，产品种类齐全，为采购商、经营户和个人提供可靠的交易保障和一站式采购配送服务。,版权,易纱网,0,浙江易孚贸易有限公司,4
飞龙雨供水站是贵州飞龙雨实业集团有限公司开发的一款桶装水供水站配送员接单、配送的软件,开发者,飞龙雨供水站,0,贵州飞龙雨实业集团有限公司,7
兴鼎健康APP由广东兴鼎健康管理有限公司研发和使用。~兴鼎健康APP致力于解决实现健康生活一站式智能咨询和商品服务，让沟通零距离，让用户便捷和低成本获取产品，为用户健康保驾护航。~专业科普资讯、前沿医学文献，为用户提供知识服务，提高健康素养。~专业临床营养产品和相关器械品类供应，高效物流配送到家，100%正品保障。~专业客服团队，提供多渠道一对一咨询服务。~,版权,兴鼎健康,0,广东兴鼎健康管理有限公司,8
【邹城人才网】ZCRCW.COM提供邹城地区最新最全的求职招聘信息，包含找工作，找人才，附近工作，招聘会等功能；免费注册会员，免费发布求职招聘信息。求职招聘找工作就用邹城人才网APP！,总部,邹城人才网APP,83,邹城地区,18
十五维APP是一款集社交聊天，电子商城，新闻头条，MR混合现实，MR在线情感互动，寻祖溯源，人生轨迹记录，大健康等众多功能为一体的社交4.0产品，十五维致力于用户从复杂中简单化生活，轻生活，轻享受。~更多的精彩十五维邀请您一同见证,交互模式,十五维,0,聊天，电子商城，新闻头条,12
“HSF云上田园”应用APP是海南省农垦局所属“海橡健康”部门的购物商城的应用APP名称。该应用APP提供商品的购买、优惠券的使用、订单管理、签到、会员等级升级等服务。,开发者,HSF云上田园,1,海南省农垦局所属“海橡健康”部门,15
钢友APP是一个致力于不锈钢行业的信息服务平台。主要功能包括询价发布、报价、协议签订、库存管理、现货超市、商圈、钢材计算器、数钢管等功能。,用户数量,钢友,0,发布、报价、协议签订、库存管理、现货超市、商圈、钢材计算器、数钢管,32
注册海囤生活APP，开启一张全新的生活消费大门。~海囤生活是为女性个人及家庭消费量身打造的高性价比购物平台，从全球海量的商品库当中优中选优，帮助客户发现优质、实用、高性价比的各种生活必需产品，简单、高效、快乐，海囤生活期待与您共同进步，让消费购物成为一件快乐的事，让学习提升成为一种生活习惯！,交互模式,海囤生活,2,费购物成,120
